,Unnamed: 0,country,country_code,year,avg_years_of_schooling
34,86,Albania,ALB,2000,8.8
35,87,Albania,ALB,2001,8.7
36,88,Albania,ALB,2002,9.0
37,89,Albania,ALB,2003,9.0
38,90,Albania,ALB,2004,9.1
39,91,Albania,ALB,2005,9.1
40,92,Albania,ALB,2006,9.2
41,93,Albania,ALB,2007,9.2
42,94,Albania,ALB,2008,9.2
43,95,Albania,ALB,2009,9.3
44,96,Albania,ALB,2010,9.3
45,97,Albania,ALB,2011,9.3
46,98,Albania,ALB,2012,9.6
47,99,Albania,ALB,2013,9.7
48,100,Albania,ALB,2014,9.7
49,101,Albania,ALB,2015,9.7
50,102,Albania,ALB,2016,10.0
51,103,Albania,ALB,2017,10.0
86,385,Austria,AUT,2000,9.0
87,386,Austria,AUT,2001,9.2
88,387,Austria,AUT,2002,9.4
89,388,Austria,AUT,2003,9.6
90,389,Austria,AUT,2004,9.8
91,390,Austria,AUT,2005,9.9
92,391,Austria,AUT,2006,10.1
93,392,Austria,AUT,2007,11.6
94,393,Austria,AUT,2008,11.5
95,394,Austria,AUT,2009,11.7
96,395,Austria,AUT,2010,11.8
97,396,Austria,AUT,2011,11.8
98,397,Austria,AUT,2012,11.8
99,398,Austria,AUT,2013,11.9
100,399,Austria,AUT,2014,12.1
101,400,Austria,AUT,2015,12.1
102,401,Austria,AUT,2016,12.1
103,402,Austria,AUT,2017,12.1
109,589,Belarus,BLR,2000,8.9
110,590,Belarus,BLR,2001,9.0
111,591,Belarus,BLR,2002,9.1
112,592,Belarus,BLR,2003,9.1
113,593,Belarus,BLR,2004,9.2
114,594,Belarus,BLR,2005,9.3
115,595,Belarus,BLR,2006,10.0
116,596,Belarus,BLR,2007,10.6
117,597,Belarus,BLR,2008,11.3
118,598,Belarus,BLR,2009,11.9
119,599,Belarus,BLR,2010,12.0
120,600,Belarus,BLR,2011,12.0
121,601,Belarus,BLR,2012,12.0
122,602,Belarus,BLR,2013,12.0
123,603,Belarus,BLR,2014,12.1
124,604,Belarus,BLR,2015,12.2
125,605,Belarus,BLR,2016,12.3
126,606,Belarus,BLR,2017,12.3
161,641,Belgium,BEL,2000,10.0
162,642,Belgium,BEL,2001,10.2
163,643,Belgium,BEL,2002,10.3
164,644,Belgium,BEL,2003,10.4
165,645,Belgium,BEL,2004,10.5
166,646,Belgium,BEL,2005,10.7
167,647,Belgium,BEL,2006,11.1
168,648,Belgium,BEL,2007,11.1
169,649,Belgium,BEL,2008,11.0
170,650,Belgium,BEL,2009,11.1
171,651,Belgium,BEL,2010,11.1
172,652,Belgium,BEL,2011,11.2
173,653,Belgium,BEL,2012,11.2
174,654,Belgium,BEL,2013,11.4
175,655,Belgium,BEL,2014,11.5
176,656,Belgium,BEL,2015,11.7
177,657,Belgium,BEL,2016,11.8
178,658,Belgium,BEL,2017,11.8
179,828,Bosnia and Herzegovina,BIH,2000,7.0
180,829,Bosnia and Herzegovina,BIH,2001,7.1
181,830,Bosnia and Herzegovina,BIH,2002,7.2
182,831,Bosnia and Herzegovina,BIH,2003,7.2
183,832,Bosnia and Herzegovina,BIH,2004,7.3
184,833,Bosnia and Herzegovina,BIH,2005,7.4
185,834,Bosnia and Herzegovina,BIH,2006,7.4
186,835,Bosnia and Herzegovina,BIH,2007,7.5
187,836,Bosnia and Herzegovina,BIH,2008,7.6
188,837,Bosnia and Herzegovina,BIH,2009,7.7
189,838,Bosnia and Herzegovina,BIH,2010,7.1
190,839,Bosnia and Herzegovina,BIH,2011,7.2
191,840,Bosnia and Herzegovina,BIH,2012,8.3
192,841,Bosnia and Herzegovina,BIH,2013,8.7
193,842,Bosnia and Herzegovina,BIH,2014,9.2
194,843,Bosnia and Herzegovina,BIH,2015,9.0
195,844,Bosnia and Herzegovina,BIH,2016,9.7
196,845,Bosnia and Herzegovina,BIH,2017,9.7
231,1004,Bulgaria,BGR,2000,9.5
232,1005,Bulgaria,BGR,2001,9.9
233,1006,Bulgaria,BGR,2002,10.0
234,1007,Bulgaria,BGR,2003,10.1
235,1008,Bulgaria,BGR,2004,10.1
236,1009,Bulgaria,BGR,2005,10.2
237,1010,Bulgaria,BGR,2006,10.4
238,1011,Bulgaria,BGR,2007,10.5
239,1012,Bulgaria,BGR,2008,10.5
240,1013,Bulgaria,BGR,2009,10.6
241,1014,Bulgaria,BGR,2010,10.6
242,1015,Bulgaria,BGR,2011,10.7
243,1016,Bulgaria,BGR,2012,10.8
244,1017,Bulgaria,BGR,2013,10.9
245,1018,Bulgaria,BGR,2014,10.9
246,1019,Bulgaria,BGR,2015,11.8
247,1020,Bulgaria,BGR,2016,11.8
248,1021,Bulgaria,BGR,2017,11.8
267,1632,Croatia,HRV,2000,9.4
268,1633,Croatia,HRV,2001,9.8
269,1634,Croatia,HRV,2002,9.8
270,1635,Croatia,HRV,2003,9.8
271,1636,Croatia,HRV,2004,9.7
272,1637,Croatia,HRV,2005,9.7
273,1638,Croatia,HRV,2006,9.9
274,1639,Croatia,HRV,2007,10.1
275,1640,Croatia,HRV,2008,10.3
276,1641,Croatia,HRV,2009,10.6
277,1642,Croatia,HRV,2010,10.8
278,1643,Croatia,HRV,2011,11.0
279,1644,Croatia,HRV,2012,11.0
280,1645,Croatia,HRV,2013,11.0
281,1646,Croatia,HRV,2014,11.1
282,1647,Croatia,HRV,2015,11.2
283,1648,Croatia,HRV,2016,11.3
284,1649,Croatia,HRV,2017,11.3
319,1736,Cyprus,CYP,2000,10.0
320,1737,Cyprus,CYP,2001,10.1
321,1738,Cyprus,CYP,2002,10.2
322,1739,Cyprus,CYP,2003,10.4
323,1740,Cyprus,CYP,2004,10.5
324,1741,Cyprus,CYP,2005,10.7
325,1742,Cyprus,CYP,2006,10.9
326,1743,Cyprus,CYP,2007,11.2
327,1744,Cyprus,CYP,2008,11.3
328,1745,Cyprus,CYP,2009,11.3
329,1746,Cyprus,CYP,2010,11.5
330,1747,Cyprus,CYP,2011,11.6
331,1748,Cyprus,CYP,2012,11.8
332,1749,Cyprus,CYP,2013,12.0
333,1750,Cyprus,CYP,2014,11.9
334,1751,Cyprus,CYP,2015,11.9
335,1752,Cyprus,CYP,2016,12.1
336,1753,Cyprus,CYP,2017,12.1
371,1788,Czech Republic,CZE,2000,10.6
372,1789,Czech Republic,CZE,2001,10.9
373,1790,Czech Republic,CZE,2002,11.1
374,1791,Czech Republic,CZE,2003,11.4
375,1792,Czech Republic,CZE,2004,11.6
376,1793,Czech Republic,CZE,2005,11.9
377,1794,Czech Republic,CZE,2006,12.1
378,1795,Czech Republic,CZE,2007,12.2
379,1796,Czech Republic,CZE,2008,12.2
380,1797,Czech Republic,CZE,2009,12.3
381,1798,Czech Republic,CZE,2010,12.4
382,1799,Czech Republic,CZE,2011,12.5
383,1800,Czech Republic,CZE,2012,12.4
384,1801,Czech Republic,CZE,2013,12.6
385,1802,Czech Republic,CZE,2014,12.8
386,1803,Czech Republic,CZE,2015,12.7
387,1804,Czech Republic,CZE,2016,12.7
388,1805,Czech Republic,CZE,2017,12.7
423,1892,Denmark,DNK,2000,10.7
424,1893,Denmark,DNK,2001,11.4
425,1894,Denmark,DNK,2002,12.1
426,1895,Denmark,DNK,2003,12.8
427,1896,Denmark,DNK,2004,12.8
428,1897,Denmark,DNK,2005,12.8
429,1898,Denmark,DNK,2006,12.8
430,1899,Denmark,DNK,2007,12.5
431,1900,Denmark,DNK,2008,12.9
432,1901,Denmark,DNK,2009,12.7
433,1902,Denmark,DNK,2010,12.7
434,1903,Denmark,DNK,2011,12.7
435,1904,Denmark,DNK,2012,12.8
436,1905,Denmark,DNK,2013,13.2
437,1906,Denmark,DNK,2014,12.8
438,1907,Denmark,DNK,2015,12.5
439,1908,Denmark,DNK,2016,12.6
440,1909,Denmark,DNK,2017,12.6
459,2208,Estonia,EST,2000,11.7
460,2209,Estonia,EST,2001,11.8
461,2210,Estonia,EST,2002,11.9
462,2211,Estonia,EST,2003,11.9
463,2212,Estonia,EST,2004,12.0
464,2213,Estonia,EST,2005,12.1
465,2214,Estonia,EST,2006,12.2
466,2215,Estonia,EST,2007,12.2
467,2216,Estonia,EST,2008,12.3
468,2217,Estonia,EST,2009,12.4
469,2218,Estonia,EST,2010,12.5
470,2219,Estonia,EST,2011,12.5
471,2220,Estonia,EST,2012,12.5
472,2221,Estonia,EST,2013,12.6
473,2222,Estonia,EST,2014,12.6
474,2223,Estonia,EST,2015,12.7
475,2224,Estonia,EST,2016,12.6
476,2225,Estonia,EST,2017,12.7
511,2382,Finland,FIN,2000,9.3
512,2383,Finland,FIN,2001,9.4
513,2384,Finland,FIN,2002,9.5
514,2385,Finland,FIN,2003,9.6
515,2386,Finland,FIN,2004,11.9
516,2387,Finland,FIN,2005,12.0
517,2388,Finland,FIN,2006,12.0
518,2389,Finland,FIN,2007,12.0
519,2390,Finland,FIN,2008,12.2
520,2391,Finland,FIN,2009,12.2
521,2392,Finland,FIN,2010,12.3
522,2393,Finland,FIN,2011,12.3
523,2394,Finland,FIN,2012,12.4
524,2395,Finland,FIN,2013,12.3
525,2396,Finland,FIN,2014,12.4
526,2397,Finland,FIN,2015,12.4
527,2398,Finland,FIN,2016,12.4
528,2399,Finland,FIN,2017,12.4
563,2434,France,FRA,2000,9.8
564,2435,France,FRA,2001,10.0
565,2436,France,FRA,2002,10.1
566,2437,France,FRA,2003,10.2
567,2438,France,FRA,2004,10.3
568,2439,France,FRA,2005,10.4
569,2440,France,FRA,2006,10.6
570,2441,France,FRA,2007,10.7
571,2442,France,FRA,2008,10.7
572,2443,France,FRA,2009,10.8
573,2444,France,FRA,2010,10.9
574,2445,France,FRA,2011,10.9
575,2446,France,FRA,2012,11.0
576,2447,France,FRA,2013,11.2
577,2448,France,FRA,2014,11.4
578,2449,France,FRA,2015,11.5
579,2450,France,FRA,2016,11.5
580,2451,France,FRA,2017,11.5
615,2592,Germany,DEU,2000,11.2
616,2593,Germany,DEU,2001,11.7
617,2594,Germany,DEU,2002,12.1
618,2595,Germany,DEU,2003,12.5
619,2596,Germany,DEU,2004,12.9
620,2597,Germany,DEU,2005,13.3
621,2598,Germany,DEU,2006,13.6
622,2599,Germany,DEU,2007,13.7
623,2600,Germany,DEU,2008,13.7
624,2601,Germany,DEU,2009,13.8
625,2602,Germany,DEU,2010,13.8
626,2603,Germany,DEU,2011,13.9
627,2604,Germany,DEU,2012,14.0
628,2605,Germany,DEU,2013,14.0
629,2606,Germany,DEU,2014,14.0
630,2607,Germany,DEU,2015,14.1
631,2608,Germany,DEU,2016,14.1
632,2609,Germany,DEU,2017,14.1
667,2696,Greece,GRC,2000,8.6
668,2697,Greece,GRC,2001,8.8
669,2698,Greece,GRC,2002,9.1
670,2699,Greece,GRC,2003,9.3
671,2700,Greece,GRC,2004,9.6
672,2701,Greece,GRC,2005,9.8
673,2702,Greece,GRC,2006,9.9
674,2703,Greece,GRC,2007,10.0
675,2704,Greece,GRC,2008,10.1
676,2705,Greece,GRC,2009,10.1
677,2706,Greece,GRC,2010,10.3
678,2707,Greece,GRC,2011,10.3
679,2708,Greece,GRC,2012,10.3
680,2709,Greece,GRC,2013,10.4
681,2710,Greece,GRC,2014,10.5
682,2711,Greece,GRC,2015,10.6
683,2712,Greece,GRC,2016,10.8
684,2713,Greece,GRC,2017,10.8
719,3064,Hungary,HUN,2000,10.2
720,3065,Hungary,HUN,2001,10.3
721,3066,Hungary,HUN,2002,10.3
722,3067,Hungary,HUN,2003,10.5
723,3068,Hungary,HUN,2004,10.6
724,3069,Hungary,HUN,2005,10.9
725,3070,Hungary,HUN,2006,11.1
726,3071,Hungary,HUN,2007,11.3
727,3072,Hungary,HUN,2008,11.5
728,3073,Hungary,HUN,2009,11.7
729,3074,Hungary,HUN,2010,11.9
730,3075,Hungary,HUN,2011,12.0
731,3076,Hungary,HUN,2012,12.2
732,3077,Hungary,HUN,2013,12.0
733,3078,Hungary,HUN,2014,11.8
734,3079,Hungary,HUN,2015,11.8
735,3080,Hungary,HUN,2016,11.9
736,3081,Hungary,HUN,2017,11.9
771,3116,Iceland,ISL,2000,9.4
772,3117,Iceland,ISL,2001,9.6
773,3118,Iceland,ISL,2002,9.7
774,3119,Iceland,ISL,2003,9.8
775,3120,Iceland,ISL,2004,9.9
776,3121,Iceland,ISL,2005,10.0
777,3122,Iceland,ISL,2006,10.2
778,3123,Iceland,ISL,2007,10.3
779,3124,Iceland,ISL,2008,10.4
780,3125,Iceland,ISL,2009,10.5
781,3126,Iceland,ISL,2010,10.6
782,3127,Iceland,ISL,2011,11.0
783,3128,Iceland,ISL,2012,11.5
784,3129,Iceland,ISL,2013,11.9
785,3130,Iceland,ISL,2014,12.2
786,3131,Iceland,ISL,2015,12.2
787,3132,Iceland,ISL,2016,12.4
788,3133,Iceland,ISL,2017,12.4
823,3376,Ireland,IRL,2000,10.8
824,3377,Ireland,IRL,2001,11.0
825,3378,Ireland,IRL,2002,11.2
826,3379,Ireland,IRL,2003,11.4
827,3380,Ireland,IRL,2004,11.6
828,3381,Ireland,IRL,2005,11.7
829,3382,Ireland,IRL,2006,11.8
830,3383,Ireland,IRL,2007,11.9
831,3384,Ireland,IRL,2008,12.0
832,3385,Ireland,IRL,2009,12.1
833,3386,Ireland,IRL,2010,12.2
834,3387,Ireland,IRL,2011,10.9
835,3388,Ireland,IRL,2012,11.3
836,3389,Ireland,IRL,2013,11.8
837,3390,Ireland,IRL,2014,12.3
838,3391,Ireland,IRL,2015,12.3
839,3392,Ireland,IRL,2016,12.5
840,3393,Ireland,IRL,2017,12.5
875,3464,Italy,ITA,2000,8.6
876,3465,Italy,ITA,2001,8.7
877,3466,Italy,ITA,2002,8.8
878,3467,Italy,ITA,2003,8.9
879,3468,Italy,ITA,2004,9.1
880,3469,Italy,ITA,2005,9.2
881,3470,Italy,ITA,2006,9.3
882,3471,Italy,ITA,2007,9.4
883,3472,Italy,ITA,2008,9.5
884,3473,Italy,ITA,2009,9.6
885,3474,Italy,ITA,2010,9.7
886,3475,Italy,ITA,2011,9.8
887,3476,Italy,ITA,2012,9.9
888,3477,Italy,ITA,2013,10.3
889,3478,Italy,ITA,2014,10.1
890,3479,Italy,ITA,2015,10.2
891,3480,Italy,ITA,2016,10.2
892,3481,Italy,ITA,2017,10.2
911,3886,Latvia,LVA,2000,9.5
912,3887,Latvia,LVA,2001,10.0
913,3888,Latvia,LVA,2002,10.6
914,3889,Latvia,LVA,2003,11.2
915,3890,Latvia,LVA,2004,11.7
916,3891,Latvia,LVA,2005,12.1
917,3892,Latvia,LVA,2006,12.2
918,3893,Latvia,LVA,2007,12.3
919,3894,Latvia,LVA,2008,12.2
920,3895,Latvia,LVA,2009,12.3
921,3896,Latvia,LVA,2010,12.5
922,3897,Latvia,LVA,2011,12.6
923,3898,Latvia,LVA,2012,12.6
924,3899,Latvia,LVA,2013,12.7
925,3900,Latvia,LVA,2014,12.9
